loadId,relationshipType,fromDrniId,toDrniId,metadataPurpose,relationshipTypeList,p1CreateActivity,p1Latest,latest,primary,drniId,internalPurpose,internalCreate,internalCreateActivity,name
1,HAS_METAMODEL,10000,108,TRUE,,9999,TRUE,1,,,,,,
2,HAS_METAMODEL,10001,104,TRUE,,9999,TRUE,1,,,,,,
3,HAS_METAMODEL,10002,110,TRUE,,9999,TRUE,1,,,,,,
4,HAS_METAMODEL,10003,105,TRUE,,9999,TRUE,1,,,,,,
5,HAS_METAMODEL,10004,111,TRUE,,9999,TRUE,1,,,,,,
6,HAS_METAMODEL,10005,112,TRUE,,9999,TRUE,1,,,,,,
7,HAS_METAMODEL,10006,108,TRUE,,9999,TRUE,1,,,,,,
8,IS_COMPATIBLE,10004,10005,TRUE,HAS,9999,TRUE,1,,,,,,
9,IS_COMPATIBLE,10003,10004,TRUE,HAS,9999,TRUE,1,,,,,,
10,IS_COMPATIBLE,10002,10003,TRUE,HAS,9999,TRUE,1,,,,,,
